Doc. No. (GL View),Posting date,Item Text,G/L Account,,Fund,Cost Center,,WBS Element,,Internal Order,,"Funds
6400124394,20.08.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.57
6400124394,20.08.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,12.70
6400124394,20.08.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,6.37
6400124394,20.08.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,0.61
6400125923,03.09.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,440.76
6400125923,03.09.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,5.91
6400125923,03.09.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,47.91
6400125923,03.09.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,24.02
6400125923,03.09.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,2.29
6400126084,03.09.2020,#,500007,SASS Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,350.46
6400126084,03.09.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.71
6400126084,03.09.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,38.10
6400126084,03.09.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,19.11
6400126084,03.09.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.83
6400126339,03.09.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,916.40
6400126339,03.09.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,12.30
6400126339,03.09.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,99.60
6400126339,03.09.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,49.90
6400126339,03.09.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.80
6400127824,17.09.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,916.40
6400127824,17.09.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,12.30
6400127824,17.09.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,99.60
6400127824,17.09.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,49.90
6400127824,17.09.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.80
6400128473,17.09.2020,#,500007,SASS Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,233.64
6400128473,17.09.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,3.14
6400128473,17.09.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,25.40
6400128473,17.09.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,12.74
6400128473,17.09.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.22
6400129924,01.10.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,549.84
6400129924,01.10.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,7.38
6400129924,01.10.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,59.76
6400129924,01.10.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,29.94
6400129924,01.10.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,2.88
6400130718,01.10.2020,#,500007,SASS Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,350.46
6400130718,01.10.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.71
6400130718,01.10.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,38.10
6400130718,01.10.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,19.11
6400130718,01.10.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.83
6400131235,15.10.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,366.56
6400131235,15.10.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.92
6400131235,15.10.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,39.84
6400131235,15.10.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,19.96
6400131235,15.10.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.92
6400132379,29.10.2020,#,500007,SASS Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,233.64
6400132379,29.10.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,3.14
6400132379,29.10.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,25.40
6400132379,29.10.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,12.74
6400132379,29.10.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.22
6400134227,29.10.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(91.64)
6400134227,29.10.2020,#,500046,Sick Leave,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,91.64
6500026317,01.02.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,494.88
6500026317,01.02.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,6.66
6500026317,01.02.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,53.82
6500026317,01.02.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,27.00
6500026317,01.02.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,2.58
6500026634,01.03.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(494.88)
6500026634,01.03.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(6.66)
6500026634,01.03.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(53.82)
6500026634,01.03.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(27.00)
6500026634,01.03.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(2.58)
6500032101,01.05.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,91.64
6500032101,01.05.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.23
6500032101,01.05.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,9.96
6500032101,01.05.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.99
6500032101,01.05.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,0.48
6500032417,01.06.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(91.64)
6500032417,01.06.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(1.23)
6500032417,01.06.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(9.96)
6500032417,01.06.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(4.99)
6500032417,01.06.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(0.48)
6500034145,01.06.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,274.92
6500034145,01.06.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,3.69
6500034145,01.06.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,29.88
6500034145,01.06.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,14.97
6500034145,01.06.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.44
6500034385,01.07.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(274.92)
6500034385,01.07.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(3.69)
6500034385,01.07.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(29.88)
6500034385,01.07.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(14.97)
6500034385,01.07.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(1.44)
6500035607,01.07.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,549.90
6500035607,01.07.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,7.38
6500035607,01.07.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,59.76
6500035607,01.07.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,30.00
6500035607,01.07.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,2.88
6500035786,01.08.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(549.90)
6500035786,01.08.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(7.38)
6500035786,01.08.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(59.76)
6500035786,01.08.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(30.00)
6500035786,01.08.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(2.88)
6500037273,01.08.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,577.36
6500037273,01.08.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,7.77
6500037273,01.08.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,62.79
6500037273,01.08.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,31.50
6500037273,01.08.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,3.01
6500037543,01.09.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(577.36)
6500037543,01.09.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(7.77)
6500037543,01.09.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(62.79)
6500037543,01.09.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(31.50)
6500037543,01.09.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(3.01)
6500038077,01.08.2020,#,500007,SASS Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,91.79
6500038077,01.08.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.26
6500038077,01.08.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,10.01
6500038077,01.08.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,5.04
6500038077,01.08.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,0.49
6500038366,01.09.2020,#,500007,SASS Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(91.79)
6500038366,01.09.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(1.26)
6500038366,01.09.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(10.01)
6500038366,01.09.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(5.04)
6500038366,01.09.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(0.49)
6500039580,01.10.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(366.84)
6500039580,01.10.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(4.92)
6500039580,01.10.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(39.90)
6500039580,01.10.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(19.98)
6500039580,01.10.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,(1.92)
6500039712,01.09.2020,#,500006,Teaching Salaries,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,366.84
6500039712,01.09.2020,#,500044,Leave Load- Sch bsd,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,4.92
6500039712,01.09.2020,#,503337,Super Defined Contbn,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,39.90
6500039712,01.09.2020,#,504449,Payroll Tax,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,19.98
6500039712,01.09.2020,#,504453,Payroll Tax Super DC,6100,1000/68448101,8448-ED DELIVERY,#,#,2001018971,NORTH SHOALHAVEN COS PROJECT,,1.92
